id,longitude,latitude
37100007,0.683244,47.422283
42190004,4.167039,46.156224
50120001,-1.650568,49.649817
57645001,6.276813,49.129801
69150001,4.969465,45.771627
74210002,6.256774,45.751884
85210002,-1.090123,46.52118
62128001,2.81225,50.215794
87220001,1.330037,45.810958
69400001,4.726078,46.011188
10400001,3.493387,48.487215
13660004,5.03362,43.792222
17230001,-1.106462,46.295246
22530001,-2.987877,48.199311
24460001,0.790479,45.316424
25000016,5.986938,47.23856
34480001,3.207727,43.467946
35460002,-1.370578,48.412628
35540002,-1.915857,48.530865
37800001,0.623306,47.108922
45320001,3.065428,48.042241
45800004,1.982469,47.918827
51110002,4.20869,49.34742
59570001,3.797614,50.300681
59880002,3.545119,50.369807
62760001,2.484222,50.158494
67000017,7.741153,48.581656
67500002,7.783179,48.814537
69800009,4.945568,45.695683
73290004,5.883068,45.592547
74600004,6.062285,45.852089
75012011,2.408322,48.839067
75020010,2.40848,48.871174
76700004,0.209732,49.502651
77310007,2.545949,48.52691
80160003,2.153068,49.738458
80120002,1.660987,50.274607
80340001,2.718152,49.937671
81400003,2.157275,44.032194
83136004,6.085713,43.345758
83340001,6.32494,43.391558
83980002,6.36409,43.13718
84570002,5.231527,44.057791
85210003,-1.090123,46.52118
85690001,-2.127515,46.830314
87280008,1.302694,45.91092
87700004,1.135955,45.792367
89310001,3.996753,47.692534
89330002,3.30376,48.032336
91230001,2.462346,48.703208
95420005,1.786386,49.155227
13320004,5.394651,43.436042
37000005,0.713699,47.376982
50550001,-1.287205,49.590075
62117001,3.015516,50.338654
64800006,-0.244452,43.18206
67700003,7.368421,48.739593
33400003,-0.574237,44.809651
83170008,6.119436,43.402928
89630001,3.996766,47.371641
93500007,2.410281,48.892499
10370001,3.560367,48.586153
10800004,4.088235,48.268567
20145002,9.400607,41.855753
11160002,2.468928,43.314683
11300003,2.214067,43.059875
12740001,2.598442,44.398181
13200017,4.646315,43.658905
13240001,5.366021,43.397056
13560004,5.084901,43.742553
14540001,-0.300679,49.122047
14630002,-0.264762,49.149464
14800009,0.07423,49.357408
15600003,2.202816,44.714853
17000007,-1.122151,46.155179
16350001,0.406638,45.994456
16600001,0.237576,45.683807
17120005,-0.912236,45.602367
17200007,-1.030445,45.620482
17250002,-0.876573,45.830458
17300002,-0.976312,45.94816
17560001,-1.139149,45.839132
17800005,-0.594768,45.573652
18000009,2.389087,47.07931
19000008,1.756761,45.261631
19360001,1.560396,45.167598
21209001,4.84543,47.03538
21310003,5.322199,47.399798
21600004,5.063269,47.288194
23160001,1.467815,46.353972
24130003,0.376799,44.869844
24400005,0.321107,45.033172
27000008,1.139781,49.019715
25430001,6.594513,47.305641
26000006,4.912311,44.940556
26208001,4.746134,44.535568
26300002,5.000879,44.99962
26400001,5.017092,44.729574
26700001,4.696706,44.363886
27009001,1.139781,49.019715
27320001,1.217257,48.763585
28700001,1.769743,48.461605
29450001,-4.087323,48.410807
29340001,-3.68894,47.845014
29550001,-4.229461,48.181847
29760003,-4.335039,47.815338
30470002,4.192957,43.702309
31330004,1.293994,43.722551
31500008,1.481229,43.605947
31500010,1.470549,43.589661
33000007,-0.592126,44.855082
33140009,-0.559153,44.782701
33187001,-0.688203,44.86022
33260005,-1.149887,44.608842
33310003,-0.517468,44.879577
33370012,-0.491379,44.839463
33500003,-0.242079,44.918905
33680003,-1.199429,45.00014
33990002,-1.034658,45.213876
34300004,3.513471,43.285171
34311001,3.238983,43.338059
34370001,3.105294,43.41388
34540001,3.693612,43.446629
35133001,-1.115164,48.28118
35350004,-1.899644,48.604889
36400003,1.984248,46.577423
37170002,0.71999,47.342017
37220002,0.417575,47.117743
37320004,0.787113,47.283174
37400004,0.971743,47.408429
37520002,0.658168,47.386017
37600006,1.000234,47.139671
38220003,5.762448,45.084249
38630002,5.578927,45.628549
38760001,5.645927,45.074242
38920001,5.89024,45.27892
40100003,-1.051131,43.717274
40170003,-1.228644,44.067109
40530005,-1.459542,43.592656
41100003,1.117052,47.852958
41800001,0.861332,47.755703
42370003,3.931178,46.052252
42370004,3.926758,46.053575
42450002,4.183151,45.540086
42500001,4.322726,45.396882
42800002,4.611595,45.526975
43100005,3.37457,45.322285
44100002,-1.605256,47.216177
44370005,-1.020421,47.390183
44150006,-1.173819,47.373069
44300006,-1.529694,47.249407
44370004,-1.03002,47.466235
44530003,-2.040548,47.508927
44810001,-1.65902,47.415292
53100006,-0.611163,48.288491
45130006,1.704991,47.853334
45150003,2.095032,47.857267
45250002,2.739314,47.651223
45360005,2.759338,47.586016
45460002,2.397832,47.807682
46300007,1.392065,44.740508
45770002,1.890247,47.933711
46100005,2.010078,44.601892
47220003,0.653807,44.059692
47310003,0.574716,44.18347
48100002,3.290997,44.551318
48200005,3.271993,44.803941
48500002,3.212497,44.433261
49300007,-0.843211,47.075808
49330001,-0.501151,47.680534
49400007,-0.080292,47.247518
50180003,-1.125275,49.112986
51100024,4.007833,49.260317
51100044,4.018314,49.274818
51130001,4.012116,48.897188
51230002,3.91861,48.731707
51480001,3.883626,49.071219
51800005,4.915134,49.095971
52100003,4.90744,48.617224
53000004,-0.73292,48.048929
54170001,5.893982,48.522823
54300007,6.529058,48.592336
54390001,6.148742,48.742756
54700004,6.087222,48.891149
55200003,5.551923,48.788725
56150001,-3.019596,47.876976
56420002,-2.637941,47.838421
56890001,-2.805501,47.697911
57000009,6.179487,49.10576
57070002,6.206093,49.107745
57400005,7.047597,48.735232
57660001,6.788509,48.990861
58400002,3.027594,47.183747
58800001,3.682128,47.254513
59193001,2.856657,50.680266
59440002,3.936886,50.128581
59540001,3.423324,50.126222
59554005,3.202748,50.175918
59620004,3.847309,50.2015
59800001,3.095927,50.630837
59890001,3.008641,50.724294
60160002,2.42777,49.255109
62660003,2.685848,50.515136
60700003,2.604422,49.300725
61200006,-0.012163,48.75243
62240002,1.838178,50.66884
62300015,2.820202,50.423827
62440001,2.904598,50.45621
62690001,2.582035,50.349721
63330002,2.696445,46.110198
64150005,-0.613724,43.382077
64170008,-0.620698,43.415521
64240003,-1.319497,43.381608
64500006,-1.651445,43.384768
64600004,-1.532801,43.492035
64800005,-0.245028,43.182685
65500001,0.072894,43.363615
66100001,2.909083,42.682827
66170001,2.70408,42.68446
67120005,7.566564,48.542705
68240003,7.265775,48.136363
68300003,7.541395,47.604791
68780001,7.048312,47.756449
69007010,4.829259,45.726514
69200002,4.890923,45.690194
69470003,4.320949,46.105555
69510003,4.68364,45.694682
69780001,4.966247,45.677104
70250001,6.64257,47.697248
70400001,6.765236,47.579679
71000007,4.808066,46.285502
71100004,4.853995,46.792506
71110001,4.032954,46.275051
71240001,4.834593,46.693522
72120002,0.742661,47.924096
73100009,5.91451,45.69124
73420004,5.891051,45.637744
73500004,6.667983,45.199474
74000007,6.120428,45.894802
74230005,6.323244,45.881589
74960009,6.106168,45.894121
75013001,2.372445,48.838544
75013013,2.358001,48.835284
75015003,2.292451,48.839154
75017009,2.287431,48.882843
75017014,2.313008,48.894694
75018013,2.347526,48.885895
76120003,1.064769,49.40173
76210003,0.45558,49.555313
76500001,1.008919,49.286236
76600023,0.190867,49.503014
77100014,2.872209,48.960357
77170005,2.616957,48.694036
77340005,2.615876,48.802064
77450004,2.814092,48.896852
77680004,2.636973,48.797308
78100001,2.075588,48.899542
78120013,1.839284,48.644106
78241001,2.049342,48.904168
78290002,2.140265,48.875192
78480004,1.976909,48.977648
78630002,1.960891,48.922992
78660002,1.833322,48.562695
78711001,1.701192,48.984153
83400011,6.128683,43.11103
79000006,-0.473218,46.316414
79510002,-0.441993,46.986031
80000007,2.317257,49.908651
80136003,2.325318,49.902168
80290001,1.977841,49.775688
80430002,1.778377,49.842254
84130005,4.850945,43.958178
81000001,2.168994,43.933346
83160005,5.983052,43.134854
83340010,6.32494,43.391558
83310010,6.533188,43.255158
83400004,6.128683,43.11103
83480002,6.682593,43.45346
83550004,6.444011,43.426422
87100005,1.240502,45.844069
84000008,4.825773,43.950786
84140005,4.543757,43.926348
84170001,4.995186,44.033424
84500005,4.750859,44.285317
84800004,5.048327,43.918398
85540003,-1.35144,46.509394
85670002,-1.696698,46.88236
86300001,0.633311,46.568538
87250001,1.372448,46.131707
88140002,5.912166,48.147746
88200008,6.827656,47.956632
89250001,3.592724,47.873971
88340001,6.48278,47.929464
88410001,5.972776,48.030661
90100002,7.001421,47.518656
91000004,2.426703,48.637382
91130004,2.415697,48.64782
91180001,2.251631,48.6058
92100014,2.238687,48.835942
92350001,2.280867,48.78345
93260004,2.426672,48.88307
93410002,2.576398,48.935788
93380003,2.366017,48.972867
94000001,2.449132,48.791769
94210001,2.506628,48.796443
94300001,2.433088,48.845202
94500011,2.494585,48.822961
94700005,2.435773,48.801428
95310005,2.116273,49.039251
95310010,2.115481,49.039717
95500002,2.442235,48.982635
18100006,2.116591,47.21466
16710002,0.121466,45.667173
50410001,-1.192424,48.914922
10600004,4.05531,48.312897
10700002,4.156454,48.533936
11000007,2.327798,43.228899
11100008,2.985945,43.1594
16340001,0.200812,45.665024
11110002,3.075713,43.204672
11370001,3.052919,42.903809
12000009,2.573036,44.34786
12110003,2.226554,44.560525
12210001,2.850989,44.683968
12350001,2.1926,44.432272
12780002,2.985183,44.238895
13003004,5.383033,43.31636
13006004,5.390017,43.284733
13013004,5.425311,43.345109
13110004,4.980477,43.403448
13150005,4.66384,43.80223
13200016,4.637569,43.690552
13300007,5.09804,43.652205
13370006,5.207134,43.709026
13650001,5.490529,43.622549
13700004,5.217722,43.411221
14000004,-0.385831,49.172041
14500007,-0.886094,48.83766
14800005,0.090519,49.352836
15100009,3.098674,45.032023
15110002,3.006417,44.85607
17000012,-1.116577,46.154434
17210002,-0.241701,45.227489
17430006,-0.926679,45.950172
17700002,-0.754508,46.108893
19100005,1.535469,45.153406
19300003,2.036931,45.396316
20250006,9.152123,42.301284
21300007,5.009662,47.283055
21460002,4.166125,47.503507
21850001,5.098378,47.3351
22100009,-2.057082,48.452912
22260001,-3.165622,48.696252
22400007,-2.46545,48.469521
22500004,-3.035192,48.748713
22630002,-1.97648,48.378081
24500001,0.407525,44.671963
25200006,6.799603,47.525231
25660003,6.115205,47.229043
26210001,4.953806,45.290484
26290009,4.743232,44.415456
27110003,0.901813,49.146193
27210002,0.398986,49.359645
27300005,0.598124,49.083622
27400002,1.197593,49.208533
28170002,1.239659,48.583678
28330003,0.898807,48.194348
29200009,-4.47878,48.40262
29420001,-4.036181,48.579965
29790001,-4.490059,48.043515
30129001,4.497005,43.826729
30820001,4.279035,43.818797
31170004,1.324323,43.577574
32460001,-0.187831,43.777079
33150003,-0.515892,44.856578
33400002,-0.587235,44.789409
33620002,-0.336339,45.106803
33750002,-0.284887,44.822876
33850002,-0.594541,44.743138
33980002,-0.998048,44.688379
34070011,3.859319,43.593013
34100001,3.843816,43.618107
34200013,3.69055,43.411674
34400005,4.133859,43.669218
34500012,3.212731,43.33779
35000011,-1.705868,48.108962
35230003,-1.697007,48.069607
35350002,-1.895686,48.604337
35440002,-1.666395,48.310113
36000012,1.685346,46.809822
37100005,0.726728,47.4039
37160001,0.686125,46.973504
37170006,0.72627,47.34486
37260004,0.668775,47.281991
37300003,0.67968,47.350995
38200009,4.871107,45.52434
38300004,5.267356,45.585672
39300005,5.900265,46.749739
39570002,5.576705,46.668175
40100006,-1.057082,43.695861
40600003,-1.248367,44.443148
40660001,-1.380538,43.810058
41150001,1.175561,47.498575
41300002,2.059703,47.428803
41400003,1.177836,47.342202
42600004,4.071666,45.600519
42720001,4.107931,46.141484
43500004,3.952547,45.355109
44000005,-1.532746,47.237674
44117002,-2.312882,47.313691
44300005,-1.519933,47.235518
44320005,-2.043375,47.204581
44390004,-1.301411,47.517415
44412001,-1.545541,47.161568
44680001,-1.918505,47.119627
45170004,2.049467,48.080839
45430005,2.65097,48.111761
45500008,2.632418,47.697042
46100002,2.061933,44.596129
46270001,2.149362,44.667162
47200009,0.157304,44.500138
48400003,3.592087,44.328457
49400005,-0.064074,47.272197
49460001,1.346061,47.081051
49510001,-0.871207,47.198196
50110004,-1.595021,49.637945
50220001,-1.286906,48.617227
50450001,-1.353435,48.912852
50880001,-1.128489,49.165107
51100003,4.024012,49.281671
51190001,4.053568,48.974134
67000026,7.788072,48.572676
52100008,4.906242,48.641375
52250001,5.307075,47.763473
53000009,-0.788452,48.070276
54200002,5.888251,48.672421
56000002,-2.775571,47.65932
56250003,-2.567952,47.675024
56450003,-2.656192,47.629426
56620001,-3.404566,47.828093
56930001,-2.98203,47.961859
57000011,6.184519,49.073813
57117001,6.276928,49.116902
93300004,2.401455,48.912558
57130003,6.073807,49.072763
57280004,6.138489,49.196097
57320001,6.533456,49.289511
57510002,6.921938,49.058392
57740007,6.640963,49.118054
58000004,3.162616,46.987457
58000010,3.162616,46.987457
58150002,2.977561,47.270988
59100003,3.183563,50.693901
59119002,3.107434,50.391883
59141002,3.320905,50.228519
59157001,3.397267,50.137446
59233001,3.491801,50.312381
59400002,3.238282,50.167103
59470002,2.337912,50.866296
59600004,3.962437,50.282227
59640001,2.359899,51.024496
59710004,3.073647,50.540049
60000002,2.082266,49.439228
60112001,1.995165,49.502656
60200010,2.812399,49.406616
60400004,3.007191,49.580587
60500008,2.463946,49.202227
60650003,1.915303,49.436798
60800007,2.903751,49.22798
61250001,0.122586,48.531883
61700002,-0.639372,48.590016
62129001,2.259662,50.635856
62153001,2.711964,50.392383
62250006,1.744946,50.875742
62300013,2.835089,50.437545
62370002,2.124609,50.943824
62460002,2.502937,50.468084
62710002,2.951337,50.459062
63160001,3.339379,45.724529
63190003,3.396087,45.839848
63310002,3.348677,46.015522
63670002,3.135694,45.702698
63800002,3.19907,45.731561
64000011,-0.353287,43.319441
64200004,-1.551056,43.464362
64230003,-0.479014,43.346139
66000014,2.891609,42.667271
94380004,2.48431,48.766773
66130003,2.669915,42.657645
66210002,2.071237,42.567938
66680001,2.845305,42.662098
67200007,7.710117,48.562771
67270003,7.578973,48.755101
67310001,7.454973,48.639019
67500010,7.791987,48.827577
67580001,7.687791,48.868335
67800001,7.761571,48.613494
68150003,7.338081,48.190176
68240001,7.246854,48.150529
68500003,7.204272,47.916316
68680001,7.500571,47.679636
69005003,4.803554,45.756351
69100012,4.876758,45.76299
69126001,4.702655,45.729025
69590002,4.456892,45.630626
69670001,4.67286,45.732624
69800006,4.952288,45.683472
70300004,6.385066,47.820811
70500001,5.905113,47.827095
71100002,4.858913,46.772705
71540001,4.339067,47.030211
71640003,4.788131,46.798275
72000013,0.182108,48.024011
72170004,0.156222,48.232432
72400012,0.650281,48.187529
72430002,-0.142228,47.907899
94500004,2.524475,48.80846
11000010,2.367681,43.235736
73200003,6.527481,45.484643
74120002,6.553304,45.833032
74140002,6.332432,46.319064
74270003,5.879851,46.015629
74550001,6.437036,46.303936
75013020,2.383944,48.825938
76140002,1.065101,49.413842
76280002,0.188908,49.671991
76400008,0.391181,49.757895
76430001,0.333603,49.563754
76940001,0.76956,49.479303
77100006,2.940864,48.957451
77127001,2.548357,48.615413
77140011,2.708194,48.266971
77190005,2.654645,48.518886
77230004,2.749886,49.024071
77330002,2.67663,48.772938
77370004,3.008796,48.558109
77500002,2.609568,48.878454
77540001,2.969591,48.677362
78000002,2.152455,48.804971
78000011,2.018601,48.801428
78110004,2.124293,48.900036
78400003,2.144553,48.89207
78470001,2.081969,48.717485
78700005,2.08343,48.99436
79000007,-0.477275,46.313262
79230001,-0.326113,46.320608
79500001,-0.13734,46.220563
80500001,2.581789,49.646726
80690001,1.99597,50.078685
80700007,2.782734,49.702068
81120002,2.18644,43.772972
81300003,1.972933,43.760556
81400002,2.158017,44.047573
81700003,2.009584,43.518571
82110002,1.200151,44.230209
83110002,5.788094,43.12601
83136008,5.98266,43.328464
83330003,5.80565,43.197314
83570002,6.125449,43.473702
84100003,4.822072,44.134362
84130012,4.850945,43.958178
84810002,5.032132,44.088721
86000001,0.326407,46.587028
86000016,0.349392,46.592498
86140001,0.331953,46.816541
86280002,0.332423,46.556682
86370002,0.210868,46.376669
86580002,0.272425,46.570542
87000012,1.258604,45.839983
87100004,1.247906,45.820296
88000002,6.473423,48.186358
88130001,6.29014,48.371027
88140006,5.828456,48.206566
89200007,3.901556,47.49038
89350001,3.075762,47.777053
90000008,6.856924,47.632624
91000001,2.377268,48.615027
91100011,2.466102,48.60636
91160003,2.300468,48.697618
91180003,2.263288,48.595577
91210006,2.41116,48.676541
91380010,2.321156,48.703022
92120001,2.325387,48.816687
92220005,2.317828,48.802352
92500005,2.190738,48.883653
92700006,2.26508,48.932818
93100001,2.429716,48.85696
93240008,2.382728,48.957389
